TMA_num,photo_ID,QuadName,Location,ENTITY_ID,POINT_X,POINT_Y,VIEWS,Direction,Altitude,Length,photo_int,Date_,Country,Year,Azimuth_dd,SAMPLE_ele,Height_read(ft),Height_read(m),True_height,xcoord,ycoord
1815,11,,peninsula,CA18150011,-67.3962607,-70.98431266,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,73,16341.19057,4980.794886,4907.794886,-1924389.063,801193.2105
1815,12,,peninsula,CA18150012,-67.3957017,-71.00815831,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,68,16388.76356,4995.295133,4927.295133,-1921925.037,800189.3478
1815,13,,peninsula,CA18150013,-67.39514127,-71.03200556,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,91,16424.28004,5006.120556,4915.120556,-1919461.01,799185.4851
1815,14,,peninsula,CA18150014,-67.39457941,-71.05585441,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,71,16418.17142,5004.258649,4933.258649,-1916996.984,798181.6224
1815,15,,peninsula,CA18150015,-67.3940161,-71.07970484,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,72,16438.18279,5010.358114,4938.358114,-1914532.957,797177.7597
1815,16,,peninsula,CA18150016,-67.39345135,-71.10355687,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,103,16414.78836,5003.227492,4900.227492,-1912068.93,796173.897
1815,17,,peninsula,CA18150017,-67.39288514,-71.12741048,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,90,16377.33984,4991.813183,4901.813183,-1909604.904,795170.0343
1815,18,,peninsula,CA18150018,-67.39231748,-71.15126568,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,91,16386.44371,4994.588043,4903.588043,-1907140.877,794166.1717
1815,19,,peninsula,CA18150019,-67.39174835,-71.17512247,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,114,16416.99549,5003.900225,4889.900225,-1904676.851,793162.309
1815,20,,peninsula,CA18150020,-67.39117775,-71.19898083,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,191,16423.60003,5005.913289,4814.913289,-1902212.824,792158.4463
1815,21,,peninsula,CA18150021,-67.39060568,-71.22284078,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,227,16414.46775,5003.12977,4776.12977,-1899748.797,791154.5836
1815,22,,peninsula,CA18150022,-67.39003212,-71.24670231,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,293,16403.43484,4999.766939,4706.766939,-1897284.771,790150.7209
1815,23,,peninsula,CA18150023,-67.38945708,-71.27056541,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,288,16512.56083,5033.028541,4745.028541,-1894820.744,789146.8582
1815,24,,peninsula,CA18150024,-67.38888055,-71.29443009,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,369,16488.70819,5025.758256,4656.758256,-1892356.717,788142.9955
